Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Game Time
1,Hwei,4,2,5,399,39800,19200,Loss,45M 35S
2,Akali,5,0,3,311,23500,15700,Win,36M 08S
3,Hwei,3,0,10,287,15600,13500,Win,35M 38S
4,Viktor,1,1,8,255,19400,11600,Win,29M 02S
5,Ryze,0,6,5,181,11400,8500,Loss,24M 37S
6,Anivia,2,0,5,206,13800,9500,Win,26M 12S
7,Azir,5,2,9,282,27500,13700,Win,29M 10S
8,Aurora,4,1,5,316,16200,13900,Win,30M 29S
9,Ahri,7,2,8,241,28100,12700,Win,27M 57S
10,Aurora,1,1,10,266,13900,12000,Win,29M 28S